Respondent_Serial,SM_GPID,Pre_Post,yyyymmdd,WEEK,SEX,AGEBANDS,Region,Region2,SEG,Brand_pref,Brand_loyal,Brand_dif,TOM_01,TotalUnaided_01,Familiarity_01,Aided_01,Tried_01,MostOften_01,BoughtLast_01,Consideration_01,Consideration_TopBox_01,Consideration_T2B_01,KPIA_01,KPIB_01,KPIC_01,KPID_01,KPIE_01,KPIF_01,KPIH_01,KPII_01,KPIJ_01,COMAW_01,Emotional_01,Uniqueness_01,Rational_01,Leadership_01,Premiumness_01,Cost_01,VarietyFamiliarity_01,VarietyPI_01,VarietyPerception_01,MC1,MC2,MC2P,MC2B,MC2N,WOM1,WOM2,WOM2P,WOM2B,WOM2N,EX1,EX2,EX2P,EX2B,EX2N,COOKIES_FREQ,feddistr,Regular_Buyers_Brand1,MostOften_BBW,Regular_BBW,Trial_BBW,Prompted_BBW,Consideration_Top1_BBW,BB_regular_buyers,Noodle_frequent_buyers,Noodle_Eaters,tv_fr,onl_fr,tv_onl,bloger,ex2pbp,wom2pbp,mc2pbp,wave,wave1
100078,2c57311f-5231-4682-9fb3-346a7b2c45dc,1,20230620,202325,2,2,2,1,3,1,2,3,0,1,3,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,6,6,7,6,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,1,1
100081,fad20fdf-d8ba-4579-9204-2090b98a64fc,1,20230620,202325,1,2,3,2,4,3,0,3,0,0,4,1,1,0,0,3,0,1,1,0,0,1,0,1,0,1,1,0,6,7,9,8,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,4,0,0,0,0,1,0,2,1,1,0,0,0,0,1,0,0,1,1
100082,53afb04d-f7e6-4627-b5bc-5ab8244ee8be,1,20230620,202325,2,1,3,2,3,2,0,3,1,1,6,1,1,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,11,10,11,11,9,2,4,5,4,0,0,0,0,0,1,4,1,0,0,1,4,1,0,0,0,7,1,0,0,1,1,1,1,2,1,22,0,0,0,1,1,0,1,1
100084,35667277-40b4-4744-aac4-7e64a08d3e62,1,20230620,202325,2,2,2,1,6,2,0,2,0,1,5,1,1,0,1,3,0,1,1,1,1,1,1,1,1,1,1,1,11,10,9,11,8,3,5,5,4,-1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,2,1,0,1,1,1,1,1,2,1,10,0,0,0,1,0,0,1,1
100086,a914c163-95e0-4cf1-b733-96808a0d4710,1,20230620,202325,2,2,3,2,5,2,0,2,1,1,5,1,1,0,1,3,0,1,1,1,1,1,1,1,1,1,0,1,10,9,10,6,9,2,3,0,0,0,0,0,0,0,-1,0,0,0,0,1,4,1,0,0,0,9,1,0,0,0,1,0,1,2,1,3,0,0,0,1,0,0,1,1
100087,a622a905-6ac9-4d78-8309-1150b50b8100,1,20230620,202325,2,2,3,2,3,3,0,3,0,1,4,1,1,0,0,3,0,1,1,1,1,1,1,1,1,1,1,1,10,10,10,11,9,1,4,3,4,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,7,0,0,0,1,1,0,2,1,2,5,0,0,0,1,0,0,1,1
100095,3a56e3ed-d282-48fc-8fdb-8138b0dd11de,1,20230620,202325,2,1,3,2,4,1,3,3,0,1,5,1,1,0,1,3,0,1,1,1,1,1,1,1,1,1,1,1,9,11,10,7,11,3,1,0,0,1,4,1,0,0,1,4,1,0,0,1,4,1,0,0,0,4,1,0,0,0,0,0,1,2,2,0,0,0,0,1,1,1,1,1
100096,018d7e08-7af9-41dd-b20c-94c4c836f87c,1,20230620,202325,1,1,3,2,4,2,0,3,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,6,7,6,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,1,1
100097,256988ae-a245-4865-912d-f71f9e047231,1,20230620,202325,1,1,3,2,4,3,0,2,0,0,4,1,1,0,0,3,0,1,1,0,0,1,0,1,0,1,0,0,8,6,8,8,10,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,8,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,0,1,1
100099,90273075-d3b5-4a5e-b04e-e24f0a2b25ae,1,20230620,202325,1,2,2,1,3,3,0,3,0,1,5,1,1,0,0,2,0,0,1,1,1,1,1,1,1,1,0,0,8,8,8,9,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1
100101,c74da957-8d13-41a7-9833-a62820f82a89,1,20230620,202325,2,2,3,2,0,2,0,2,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,2,2,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,5,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,1,1
100102,c312ed5e-3a68-4de6-b9a2-5c3eed74298f,1,20230620,202325,2,2,3,2,3,3,0,3,0,0,3,1,0,0,0,3,0,1,0,0,0,1,0,1,0,1,0,0,9,9,9,6,11,2,4,5,4,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,6,0,0,0,1,1,1,2,2,2,0,0,0,0,1,0,0,1,1
100104,457a64d2-690c-42ea-8d58-ffea3d77db4a,1,20230620,202325,1,2,3,2,4,1,2,2,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,6,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,2,1,11,0,0,0,0,0,0,1,1
100106,d4286363-5abd-4dcf-9c80-e62e623d1a7c,1,20230620,202325,1,2,3,2,3,2,0,4,0,0,5,1,1,0,0,3,0,1,1,1,1,1,1,1,1,1,1,0,8,11,11,11,11,1,4,5,4,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,8,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1
100107,c2867499-2a07-4d60-9d80-58d4e8621a79,1,20230620,202325,2,2,1,1,4,2,0,4,0,0,4,1,1,0,0,3,0,1,0,1,1,1,0,0,0,1,0,0,9,9,9,7,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,2,2,1,7,0,0,0,1,0,0,1,1
100108,3c7da0c3-2758-4f7b-bbb8-1ae31a544069,1,20230620,202325,1,1,3,2,5,2,0,2,1,1,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,10,10,10,10,8,1,4,4,4,0,0,0,0,0,-1,0,0,0,0,1,4,1,0,0,0,8,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1
100109,cc05d909-1349-47a9-a1d6-a0ad0b7b59f5,1,20230620,202325,1,2,1,1,5,2,0,4,1,1,6,1,1,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,7,2,6,5,4,0,0,0,0,0,1,4,1,0,0,1,4,1,0,0,0,1,1,1,1,1,1,1,1,1,2,0,0,0,0,1,1,0,1,1
100112,6a32ec11-9ca2-4355-8287-ab81320236d1,1,20230620,202325,2,1,1,1,5,2,0,4,0,0,5,1,1,0,0,3,0,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,1,3,0,0,0,0,0,0,0,1,4,1,0,0,1,4,1,0,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,1,1,0,1,1
100113,96324136-0a5c-4f8a-a61c-aa0d837c52a7,1,20230620,202325,1,2,1,1,5,2,0,3,0,1,5,1,1,0,1,3,0,1,1,1,0,1,1,0,0,1,0,1,9,9,9,9,8,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1
100115,83f17f71-eb2b-456d-8861-606fd7846ce9,1,20230620,202325,1,2,1,1,5,2,0,3,0,0,5,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,9,9,9,9,9,2,5,5,4,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,1,0,1,1,1,1,1,1,1,20,1,21,0,1,0,0,1,1
100117,fd850a17-96c4-4eba-8ae4-b8e01c56670e,1,20230620,202325,2,1,3,2,3,1,1,4,0,0,2,1,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,1,2,6,6,2,2,1,6,5,4,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,9,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,1,1
100119,c30dfe75-5af3-4e08-b0eb-581df40982d1,1,20230620,202325,2,1,1,1,2,3,0,2,0,0,6,1,1,1,0,3,0,1,1,0,0,1,0,0,0,1,1,1,11,9,10,9,8,2,4,5,4,1,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,2,16,0,0,0,0,0,0,1,1
100120,9949428a-c334-4b87-9bee-4da9f9b01610,1,20230620,202325,2,2,1,1,4,2,0,4,0,0,3,1,0,0,0,2,0,0,1,0,0,1,1,1,0,1,0,0,8,10,9,9,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,1,0,2,2,1,12,0,0,0,0,0,0,1,1
100123,167f5240-dcdc-4772-ad98-d4f50307c4ec,1,20230620,202325,2,2,3,2,4,2,0,4,1,1,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,0,0,11,11,11,11,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,9,1,0,0,0,1,0,1,2,1,12,0,0,0,1,0,0,1,1
100124,7f22d1e6-c8b8-4039-a140-8bba36c9d3db,1,20230620,202325,2,2,3,2,4,2,0,3,0,1,4,1,1,0,0,2,0,0,1,1,1,1,0,1,0,0,1,0,6,9,6,6,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,9,0,0,0,0,0,0,2,2,2,12,0,0,0,0,0,0,1,1
100125,c8358176-b64c-4fd0-bd4b-08e0bc7bab2c,1,20230620,202325,2,1,3,2,3,2,0,3,0,0,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,11,6,8,11,7,1,4,4,3,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,4,1,0,0,1,1,0,1,2,1,5,0,0,0,1,0,0,1,1
100127,a0dc4e54-d3c0-4802-8f8a-91f3a9bf541c,1,20230620,202325,1,2,1,1,5,1,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,1,0,2,1,2,0,1,0,0,1,0,0,1,1
100128,561dcf6b-a5e3-4f9f-af3f-90339c6d3456,1,20230620,202325,1,2,3,2,5,2,0,3,1,1,5,1,1,0,0,3,0,1,1,1,1,0,0,1,1,1,0,0,10,9,10,11,10,2,5,5,4,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,7,1,0,1,1,1,1,1,1,1,9,0,0,0,1,0,0,1,1
100130,36b28171-5229-4327-b771-0f93194b1718,1,20230620,202325,1,2,2,1,4,2,0,2,0,0,4,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,4,6,6,9,1,5,4,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,0,1,1,1,0,2,1,1,0,1,0,0,0,0,0,1,1
100141,d5ce5eea-32f2-4646-80f0-2d5763abd5f7,1,20230620,202325,2,1,3,2,4,2,0,3,0,0,4,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,7,9,11,11,11,3,5,5,3,1,2,0,0,0,1,3,0,1,0,0,0,0,0,0,0,4,0,0,1,1,1,1,2,1,2,32,0,0,0,0,1,0,1,1
